track,preset_folder,preset_label,wav_size_bytes,wav_size_kb,wav_size_mb,encoded_size_bytes,encoded_size_kb,encoded_size_mb,size_ratio_encoded_to_wav,percent_reduction_from_wav,,,,,,,,
SOAD/Toxicity/09 System Of A Down - Atwa.wav,mp3_v0,V0,31081724,30353.24609,29.64184189,5797798,5661.912109,5.529211044,0.18653399,81.34660098,,,,,,,,
SOAD/Toxicity/09 System Of A Down - Atwa.wav,mp3_v2,V2,31081724,30353.24609,29.64184189,4154383,4057.014648,3.961928368,0.133659993,86.63400074,,,,,,,,
SOAD/Toxicity/09 System Of A Down - Atwa.wav,mp3_v5,V5,31081724,30353.24609,29.64184189,2793503,2728.030273,2.664092064,0.089876064,91.01239365,,,,,,,,
SOAD/Toxicity/10 System Of A Down - Science.wav,mp3_128,128 CBR,28765004,28090.82422,27.43244553,2610198,2549.021484,2.489278793,0.090742139,90.92578607,,,,,,,,
SOAD/Toxicity/10 System Of A Down - Science.wav,mp3_192,192 CBR,28765004,28090.82422,27.43244553,3915275,3823.510742,3.733897209,0.136112444,86.38875559,,,,,,,,
SOAD/Toxicity/10 System Of A Down - Science.wav,mp3_320,320 CBR,28765004,28090.82422,27.43244553,6525430,6372.490234,6.223134995,0.226853089,77.31469114,,,,,,,,
SOAD/Toxicity/10 System Of A Down - Science.wav,mp3_v0,V0,28765004,28090.82422,27.43244553,5404943,5278.264648,5.154555321,0.187899956,81.21000435,,,,,,,,
SOAD/Toxicity/10 System Of A Down - Science.wav,mp3_v2,V2,28765004,28090.82422,27.43244553,3965527,3872.584961,3.781821251,0.137859428,86.21405719,,,,,,,,
SOAD/Toxicity/10 System Of A Down - Science.wav,mp3_v5,V5,28765004,28090.82422,27.43244553,2662481,2600.079102,2.539139748,0.09255973,90.74402701,,,,,,,,
SOAD/Toxicity/11 System Of A Down - Shimmy.wav,mp3_128,128 CBR,19592204,19133.01172,18.68458176,1778041,1736.368164,1.695672035,0.090752475,90.92475252,,,,,,,,
SOAD/Toxicity/11 System Of A Down - Shimmy.wav,mp3_192,192 CBR,19592204,19133.01172,18.68458176,2667040,2604.53125,2.543487549,0.136127615,86.38723852,,,,,,,,
SOAD/Toxicity/11 System Of A Down - Shimmy.wav,mp3_320,320 CBR,19592204,19133.01172,18.68458176,4445039,4340.858398,4.23911953,0.226877946,77.31220541,,,,,,,,
SOAD/Toxicity/11 System Of A Down - Shimmy.wav,mp3_v0,V0,19592204,19133.01172,18.68458176,3798398,3709.373047,3.622434616,0.19387293,80.61270697,,,,,,,,
SOAD/Toxicity/11 System Of A Down - Shimmy.wav,mp3_v2,V2,19592204,19133.01172,18.68458176,2720511,2656.749023,2.594481468,0.138856813,86.11431874,,,,,,,,
