track,track_stem,preset_short_label,label,spectral_mae_db,spectral_rmse_db,spectral_corr,mae_20_200_db,mae_200_2000_db,mae_2000_8000_db,mae_8000_20000_db,delta_peak_db,delta_rms_db,delta_crest_db
Deftones/around the fur/06 Deftones - Be Quiet and Drive (Far Away).wav,Deftones__around_the_fur__06_Deftones_-_Be_Quiet_and_Drive_(Far_Away),V2,MP3 VBR q2,4.256381034851074,10.752107620239258,0.935528624687494,0.004036398604512215,0.010087087750434875,0.029227299615740776,3.847884178161621,0.7196595000000001,0.000344000000000122,0.7193159999999992
Deftones/around the fur/06 Deftones - Be Quiet and Drive (Far Away).wav,Deftones__around_the_fur__06_Deftones_-_Be_Quiet_and_Drive_(Far_Away),V5,MP3 VBR q5,8.4102144241333,16.294349670410156,0.9067443227687061,0.024421580135822296,0.04876001924276352,0.2847452461719513,11.347952842712402,1.4122624000000004,0.027994000000001407,1.3842689999999997
Deftones/around the fur/07 Deftones - Lotion.wav,Deftones__around_the_fur__07_Deftones_-_Lotion,128 CBR,MP3 128 kbps CBR,9.049642562866211,17.970443725585938,0.9074945816486828,0.434688001871109,0.4329429566860199,0.279741495847702,11.513713836669922,0.8864914000000002,-0.4069489999999991,1.2934409999999996
Deftones/around the fur/07 Deftones - Lotion.wav,Deftones__around_the_fur__07_Deftones_-_Lotion,192 CBR,MP3 192 kbps CBR,4.994437217712402,12.554113388061523,0.9191215931522165,0.26127490401268005,0.2623591721057892,0.23464049398899078,4.111241340637207,0.5364141,-0.25752600000000037,0.7939399999999992
Deftones/around the fur/07 Deftones - Lotion.wav,Deftones__around_the_fur__07_Deftones_-_Lotion,320 CBR,MP3 320 kbps CBR,2.4988718032836914,8.426494598388672,0.9356392425806183,0.0015574062708765268,0.0020553909707814455,0.005215108394622803,0.05836141109466553,0.32857990000000026,0.0003100000000006986,0.3282689999999988
Deftones/around the fur/07 Deftones - Lotion.wav,Deftones__around_the_fur__07_Deftones_-_Lotion,V0,MP3 VBR q0,0.26880159974098206,0.8404723405838013,0.9984586590718746,0.0022111779544502497,0.00383161217905581,0.009081046096980572,0.14115819334983826,0.6016802000000001,0.002105999999999497,0.5995720000000002
Deftones/around the fur/07 Deftones - Lotion.wav,Deftones__around_the_fur__07_Deftones_-_Lotion,V2,MP3 VBR q2,4.9564924240112305,12.578859329223633,0.920134165093219,0.005686367396265268,0.009301762096583843,0.026547370478510857,4.187676429748535,1.0787529999999999,0.001723000000000141,1.0770289999999996
Deftones/around the fur/07 Deftones - Lotion.wav,Deftones__around_the_fur__07_Deftones_-_Lotion,V5,MP3 VBR q5,9.566762924194336,18.292497634887695,0.9088595706927107,0.03233763575553894,0.0477871336042881,0.2828991413116455,12.526609420776367,2.0510029000000003,0.04690899999999942,2.0040929999999992
Deftones/around the fur/08 Deftones - Dai the Flu.wav,Deftones__around_the_fur__08_Deftones_-_Dai_the_Flu,128 CBR,MP3 128 kbps CBR,7.920151710510254,15.840798377990723,0.9225896969772289,0.4379354417324066,0.4289563000202179,0.24749311804771423,10.257996559143066,0.8110146,-0.4213339999999999,1.2323470000000007
Deftones/around the fur/08 Deftones - Dai the Flu.wav,Deftones__around_the_fur__08_Deftones_-_Dai_the_Flu,192 CBR,MP3 192 kbps CBR,4.412351131439209,10.660900115966797,0.9473717635664839,0.2535119354724884,0.26104623079299927,0.23128944635391235,3.847133159637451,0.6373915000000001,-0.2609369999999984,0.8983280000000011
